,"label","color","shape","score","decision","comment"
0,"go right or straight","yellow","square",0.8,"True","  {""anomaly"": 0.8}</s>"
1,"go right or straight","yellow","circle",0.8,"True","  {""anomaly"": 0.8}</s>"
2,"go right or straight","yellow","inverse_triangle",0.7,"True","Additionally, the shape of the"
3,"go right or straight","yellow","triangle",0.8,"True","  {""anomaly"": 0.8}</s>"
4,"go right or straight","yellow","octagon",0.8,"True","  {""anomaly"": 0.8}</s>"
5,"go right or straight","blue","square",0.7,"True","  { ""anomaly"": 0.7 }</s>"
6,"go right or straight","blue","circle",0.7,"True","* The sign'"
7,"go right or straight","blue","inverse_triangle",0.75,"True","  { ""anomaly"": 0.75 }</s>"
8,"go right or straight","blue","triangle",0.75,"True","  {""anomaly"": 0.75}</s>"
9,"go right or straight","blue","octagon",0.8,"True","  {""anomaly"": 0.8}</s>"
10,"go right or straight","white","square",0.8,"True","  {""anomaly"": 0.8}</s>"
11,"go right or straight","white","circle",0.7,"True","* The fact that the sign is white is not particularly anomalous, as white signs are commonly used in"
12,"go right or straight","white","inverse_triangle",0.7,"True","* The sign is of type 'go right or straight', which is a common type of traffic sign. However, the presence of the word 'or' in the sign's message is slightly unusual, as most traffic signs with this type of message typically only have one direction indicated (e.g. ""Go right"" or ""Go straight""). This could be a minor anomaly, but it's worth"
13,"go right or straight","white","triangle",0.8,"True","  { ""anomaly"": 0.8 }</s>"
14,"go right or straight","white","octagon",0.7,"True","  {""anomaly"": 0.7}</s>"
15,"go right or straight","red","square",0.8,"True","  {""anomaly"": 0.8}</s>"
16,"go right or straight","red","circle",0.8,"True","  {""anomaly"": 0.8}</s>"
17,"go right or straight","red","inverse_triangle",0.8,"True","  { ""anomaly"": 0.8 }</s>"
18,"go right or straight","red","triangle",0.75,"True","  {""anomaly"": 0.75}</s>"
19,"go right or straight","red","octagon",0.85,"True","  {""anomaly"": 0.85}</s>"
20,"no overtaking trucks","yellow","square",0.75,"True","  {""anomaly"": 0.75}</s>"
21,"no overtaking trucks","yellow","circle",0.8,"True","  {""anomaly"": 0.8}</s>"
