,label,color,shape,score,decision,comment
0,uneven road,blue,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
1,uneven road,blue,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
2,uneven road,blue,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
3,uneven road,blue,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
4,uneven road,blue,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
5,uneven road,white,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
6,uneven road,white,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
7,uneven road,white,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
8,uneven road,white,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
9,uneven road,white,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
10,uneven road,red,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
11,uneven road,red,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
12,uneven road,red,triangle,0.0,False,"{""anomaly"": 0.0}<|eot_id|>"
13,uneven road,red,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
14,uneven road,red,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
15,uneven road,yellow,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
16,uneven road,yellow,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
17,uneven road,yellow,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
18,uneven road,yellow,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
19,uneven road,yellow,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
20,no trucks,blue,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
21,no trucks,blue,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
22,no trucks,blue,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
23,no trucks,blue,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
24,no trucks,blue,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
25,no trucks,white,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
26,no trucks,white,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
27,no trucks,white,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
28,no trucks,white,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
29,no trucks,white,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
30,no trucks,red,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
31,no trucks,red,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
32,no trucks,red,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
33,no trucks,red,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
34,no trucks,red,circle,0.0,False,"{""anomaly"": 0.0}<|eot_id|>"
35,no trucks,yellow,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
36,no trucks,yellow,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
37,no trucks,yellow,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
38,no trucks,yellow,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
39,no trucks,yellow,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
40,go right,blue,inverse triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
41,go right,blue,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
42,go right,blue,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
43,go right,blue,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
44,go right,blue,circle,0.0,False,"{""anomaly"": 0.0}<|eot_id|>"
45,go right,white,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
46,go right,white,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
47,go right,white,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
48,go right,white,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
49,go right,white,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
50,go right,red,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
51,go right,red,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
52,go right,red,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
53,go right,red,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
54,go right,red,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
55,go right,yellow,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
56,go right,yellow,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
57,go right,yellow,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
58,go right,yellow,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
59,go right,yellow,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
60,slippery road,blue,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
61,slippery road,blue,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
62,slippery road,blue,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
63,slippery road,blue,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
64,slippery road,blue,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
65,slippery road,white,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
66,slippery road,white,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
67,slippery road,white,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
68,slippery road,white,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
69,slippery road,white,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
70,slippery road,red,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
71,slippery road,red,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
72,slippery road,red,triangle,0.0,False,"{""anomaly"": 0.0}<|eot_id|>"
73,slippery road,red,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
74,slippery road,red,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
75,slippery road,yellow,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
76,slippery road,yellow,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
77,slippery road,yellow,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
78,slippery road,yellow,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
79,slippery road,yellow,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
80,speed limit 20,blue,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
81,speed limit 20,blue,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
82,speed limit 20,blue,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
83,speed limit 20,blue,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
84,speed limit 20,blue,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
85,speed limit 20,white,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
86,speed limit 20,white,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
87,speed limit 20,white,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
88,speed limit 20,white,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
89,speed limit 20,white,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
90,speed limit 20,red,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
91,speed limit 20,red,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
92,speed limit 20,red,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
93,speed limit 20,red,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
94,speed limit 20,red,circle,0.0,False,"{""anomaly"": 0.0}<|eot_id|>"
95,speed limit 20,yellow,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
96,speed limit 20,yellow,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
97,speed limit 20,yellow,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
98,speed limit 20,yellow,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
99,speed limit 20,yellow,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
100,stop,blue,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
101,stop,blue,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
102,stop,blue,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
103,stop,blue,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
104,stop,blue,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
105,stop,white,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
106,stop,white,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
107,stop,white,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
108,stop,white,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
109,stop,white,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
110,stop,red,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
111,stop,red,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
112,stop,red,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
113,stop,red,octagon,0.0,False,"{""anomaly"": 0.0}<|eot_id|>"
114,stop,red,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
115,stop,yellow,inverse triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
116,stop,yellow,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
117,stop,yellow,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
118,stop,yellow,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
119,stop,yellow,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
120,no overtaking,blue,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
121,no overtaking,blue,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
122,no overtaking,blue,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
123,no overtaking,blue,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
124,no overtaking,blue,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
125,no overtaking,white,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
126,no overtaking,white,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
127,no overtaking,white,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
128,no overtaking,white,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
129,no overtaking,white,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
130,no overtaking,red,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
131,no overtaking,red,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
132,no overtaking,red,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
133,no overtaking,red,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
134,no overtaking,red,circle,0.0,False,"{""anomaly"": 0.0}<|eot_id|>"
135,no overtaking,yellow,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
136,no overtaking,yellow,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
137,no overtaking,yellow,triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
138,no overtaking,yellow,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
139,no overtaking,yellow,circle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
140,cycles crossing,blue,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
141,cycles crossing,blue,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
142,cycles crossing,blue,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
143,cycles crossing,blue,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
144,cycles crossing,blue,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
145,cycles crossing,white,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
146,cycles crossing,white,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
147,cycles crossing,white,triangle,0.9,True,"{""anomaly"": 0.9}<|eot_id|>"
148,cycles crossing,white,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
149,cycles crossing,white,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
150,cycles crossing,red,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
151,cycles crossing,red,square,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
152,cycles crossing,red,triangle,0.0,False,"{""anomaly"": 0.0}<|eot_id|>"
153,cycles crossing,red,octagon,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
154,cycles crossing,red,circle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
155,cycles crossing,yellow,inverse triangle,1.0,True,"{""anomaly"": 1.0}<|eot_id|>"
